id;starttime;endtime;description;type;subtype;street;polyline;direction
20240329T161009_1420_56;2024-03-29T16:10:09+02:00;2050-03-29T09:00:00+02:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8647610210920789 2.4013849285854998 48.8646466309063783 2.4041489084446028;ONE_DIRECTION
20210117T082836_6088_3370;2021-01-17T08:28:36+02:00;2030-12-27T17:00:00+02:00;AE_A6A_bretelle_8;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AE_A6A_bretelle_8;48.8153000957952585 2.3367824808364861 48.8162481478654655 2.3371978486170617 48.8165029925392133 2.3374582022794543 48.8167048488371691 2.3378199568949225 48.8167241076344780 2.3380966256338662 48.8164816798007664 2.3418359646445879;ONE_DIRECTION
20210915T124732_1901_117;2021-09-15T12:47:32+02:00;2030-09-15T17:00:00+02:00;interdit au véhicules,sauf (le bus,taxi,vélo) date de fin indefini;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8955469463484036 2.3282217615104108 48.8940431642816122 2.3277028547496852;ONE_DIRECTION
20210915T124732_1903_3088;2021-09-15T12:47:32+02:00;2030-09-15T17:00:00+02:00;interdit au véhicules,sauf (le bus,taxi,vélo) date de fin indefini;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8975411909957671 2.3288634774530479 48.8955469463484036 2.3282217615104108;ONE_DIRECTION
20250527T213126_5289_3538;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Quai_Ivry;48.8258919371650677 2.3868473582624881 48.8249905899586807 2.3845162220980201;ONE_DIRECTION
20241003T082352_283_1246;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8627347716274372 2.3351458671496284 48.8631970496358079 2.3337122499579190;ONE_DIRECTION
20250527T213126_5335_2302;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Courteline;48.8447332138803674 2.4139829795163501 48.8423082329147036 2.4136394008069471;ONE_DIRECTION
20250527T213126_5336_175;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Guyane;48.8423082329147036 2.4136394008069471 48.8415000863688817 2.4135619721856303 48.8407326711858190 2.4134717160303034 48.8380937308342951 2.4127597813503909 48.8361782395103816 2.4120723603583056 48.8358784066350964 2.4119545720115685 48.8356165537515849 2.4117618209569729;ONE_DIRECTION
20250527T213126_5343_2229;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Bercy;48.8277216187745253 2.3928318558404720 48.8275117415625175 2.3916726455711554 48.8269395238267947 2.3898627176130711;ONE_DIRECTION
20241003T082352_33_2055;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8609491564223077 2.3407406813978486 48.8614986341360549 2.3390796944274990;ONE_DIRECTION
20241003T082352_515_3427;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8543173510283566 2.3637201767521603 48.8546092004605015 2.3629157723686092;ONE_DIRECTION
20250405T200722_1322_555;2025-04-05T20:07:22+02:00;2025-06-12T17:00:00+02:00;Travaux RTE entretien du réseau;CONSTRUCTION;;Av_Parmentier;48.8712422532200392 2.3700352056320275 48.8699579273859968 2.3709759132377912;ONE_DIRECTION
20241003T082352_31_1599;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8599242487681593 2.3439087680977191 48.8600921719548964 2.3433932841591374;ONE_DIRECTION
20250526T101351_342_3557;2025-05-26T10:13:51+02:00;2025-05-28T08:00:00+02:00;Manifestation des Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Bd_Raspail;48.8559865750831221 2.3258692172114728 48.8557996539704362 2.3254528121098286 48.8545064179381825 2.3257752072489732;ONE_DIRECTION
20250526T101351_343_1306;2025-05-26T10:13:51+02:00;2025-05-28T08:00:00+02:00;Manifestation des Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Bd_Raspail;48.8543408093096616 2.3261150299212336 48.8557945557034756 2.3256955449521013 48.8559865750831221 2.3258692172114728;ONE_DIRECTION
20250526T101351_347_1573;2025-05-26T10:13:51+02:00;2025-05-28T08:00:00+02:00;Manifestation des Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Bd_Raspail;48.8517215201290398 2.3268733855546548 48.8534107418061865 2.3263692233929261;ONE_DIRECTION
20250527T213126_755_394;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Chatillon;48.8226845908700398 2.3146729551358574 48.8229069369282342 2.3135833025193620;ONE_DIRECTION
20250527T213126_937_652;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Vincennes;48.8464515577076881 2.4139427947296275 48.8456819852466566 2.4139070814446328;ONE_DIRECTION
20250527T213126_974_211;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Quai_Ivry_bretelle_7;48.8262582826981628 2.3866990722617984 48.8261554720595328 2.3864301575640527 48.8257516685388424 2.3859476794323511 48.8253749774609389 2.3848893702817584 48.8249905899586807 2.3845162220980201;ONE_DIRECTION
20250527T213126_5359_2592;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Cartellier;48.8634280558059686 2.4133831553742882 48.8628331098560764 2.4135197020804431 48.8613318599919211 2.4137771931936136;ONE_DIRECTION
20240617T083355_4836_3629;2024-06-17T08:33:55+02:00;2025-12-31T18:00:00+02:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Av_Daumesnil;48.8402179827036775 2.3927256866092756 48.8396978065303102 2.3950305840152049;ONE_DIRECTION
20240617T083355_4867_1815;2024-06-17T08:33:55+02:00;2025-12-31T18:00:00+02:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8393702767821551 2.3944581541181145 48.8394519400436096 2.3951712523075654;ONE_DIRECTION
20250516T205803_5784_3037;2025-05-16T20:58:03+02:00;2025-07-30T18:00:00+02:00;Travaux:Maitre d'ouvrage:Mission vélo/Objet:Réaménagement de secteur/circulation restreinte;CONSTRUCTION;;Bd_Montparnasse;48.8454580363493278 2.3190784349608546 48.8450979869432658 2.3200021685382355;ONE_DIRECTION
20250527T213126_5186_2303;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Chatillon;48.8221102750005826 2.3164427185302068 48.8231445671306474 2.3120987813253797;ONE_DIRECTION
20210915T124542_4047_1655;2021-09-15T12:45:42+02:00;2030-09-15T17:00:00+02:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8874488274530350 2.3255033452243690 48.8866005595843021 2.3258829056671320;ONE_DIRECTION
20241003T082352_26_2547;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8580826343978813 2.3495301566806641 48.8585227178299064 2.3482103524655238;ONE_DIRECTION
20241003T082352_27_568;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8585227178299064 2.3482103524655238 48.8587993480476968 2.3474346083817021;ONE_DIRECTION
20250527T213126_1200_977;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Italie;48.8163663199988846 2.3601019042062652 48.8164394782679878 2.3585833131478262;ONE_DIRECTION
20241003T082352_28_3175;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8587993480476968 2.3474346083817021 48.8591196110789880 2.3464186665443791;ONE_DIRECTION
